"0"
"baboso, -a:adj. dimwit; twit"
"balena:n.f. whale; fat  woman. (lit.: whale)"
"banana:n.f. smart; quick;  sharp person. (used in Argentina; n.b.: plátano is the usual word for banana)"
"banana:n.m./f. smart,  quick person. (used in Argentina)"
"bar de alterne:n.m. singles bar;  pick-up spot; hookup spot"
"bar de ligar:idiom. singles'  bar; pickup joint. (used in Spain)"
"bar de ligue:n.m. singles bar;  pick-up spot; hookup spot"
"bárbara:adj. attractive;  hot; sexy (said of women). (used in Argentina)"
"bárbaro:adj. fantastic;  tremendous; brilliant"
"bárbaro:adj. attractive;  appealing man"
"barrigón:n.m. someone with  a pot belly"
"belleza:n.f. knock-out;  hottie. (used for women only)"
"benzina:n.f. gas; gasoline.  (used in Chine)"
"bepi:n.m. kid; boy. (reversed  form)"
"bicho:n.m. ugly man;  ugly woman; dog. (used in Colo del Sur)"
"bicho:n.m. prick; dick;  penis. (used in Central America and Mexico)"
"bicho raro:idiom. oddball. (lit.:  rare bug)"
"birome:n.f. pen;  ballpoint pen. (used in Cono del Sur)"
"bobo/a:adj. foolish,  stupid"
"bobo/-a:n.m/f. fool"
"bochar:v. fail an exam. (used  in Argentina)"
"bocho:n.m. smart person  who is otherwise normal"
"boite:n.f. nightclub"
"boliche:n.m. disco; dance  club. (used in Argentina)"
"bolita:n.m./f. Bolivian  person. (back slang; used in Argentina; generally insulting)"
"bolo:n.m. prick; dick;  penis"
"bolo:n.m. concert; gig.  (used in Mexico)"
"bolonqui:n.m. mess;  disaster; failure. (reversed form of quilombo; used mostly in the Andes and  Cono del Sur regions)"
"bolu:adj. stupid; dumb;  idiotic. (from boludo; used in Cono del Sur)"
"bolu:n.m./f. stupid  person; idiot; twit. (from boludo; used in Cono del Sur)"
"boludo/a:adj. thick; stupid.  (reversed form; used mainly in the Cono del Sur)"
"boludo/a:n.m/f:              asshole; jerk. (reversed form; used mainly in the Cono del  Sur)"
"bombón:n.m. attractive;  appealing; hot. (used to describe someone who is physically attractive)"
"bombón:n.m. sexy man; hot  man; attractive man"
"bonachon, -a:n.m/f., adj. good-natured  person"
"bondi:n.m. tram. (used  in the Cono del Sur region)"
"braguetazo:n.m. marriage for  money. (n.b.: used with the verbs dar or pegar as in ""dar un/el  braguetazo"" or ""pegar un/el braguetazo)"
"bravucón, -ona:n.m/f., adj. braggart"
"brazuca:n.m./f. Brazilian  person. (abbreviated form; used in Argentina; can be insulting)"
"brillar por su  ausencia:idiom. be  conspicuous by one’s absence"
"bromista:n.m./f. practical  joker; joker"
"brutal:adj. tremendous;  wonderful. (used in Spain)"
"buche:n.m. belly; gut. (lit.:  crop [bird]; maw [animals])"
"bueno:n.m. good guy;  goody. (used in reference to the ""good guy"" in a story)"
"buitre:n.m. vulture;  opportunist. (lit.: vulture)"
"burro:n.m. dullard;  numbskill; thick-headed person; simpleton. (lit.: donkey)"
"buscar bronca:idiom. be spoiling  for a fight; be looking for a fight"
"nada del otro mundo:idiom. nothing  special"
"nadar en la  abundancia:idiom. be rolling  in dough; be made of money. (lit.: to swim in abundance)"
"nalga:n.f. butt;  buttocks; bottom. (n.b.: colloquial or informal, but not vulgar; usually used  in the plural)"
"nalgas:n.f. butt;  buttocks; bottom. (n.b.: colloquial or informal, but not vulgar)"
"nalgona:n.f. big butt;  woman with a large butt. (n.b.: used only in reference to women)"
"ñaupa:adj. ancient, very  old. (n.b.: used in the Rio Plata region)"
"necesitar como agua  de mayo:idiom. absolutely  need something; really need something; must have something"
"nena:n.f. girl, chick,  lass. (n.b.: very common throughout the Spanish-speaking world)"
"nerd:n. nerd; very  serious student. (used in Argentina; from the English)"
"ni a palos:idiom. no way; not  on your life"
"ni en broma:idiom. no way; not  on your life. (lit.: not even as a joke)"
"ni modo:int. no way; not a  chance; not on your life"
"ni pizca de:idiom. not even a  shred of. (lit.: not even a pinch of)"
"ni rastro:idiom. no sign; no  hint (of something)"
"ni torta:idiom. :              no clue; no idea. (lit.: not even a cake/tart)"
"ni verga:int. no fucking  way; you've got to be kidding"
"no abrir la bolsa:idiom. be tight  with money;"
"no caber ni un  alfiler:idiom. be  completely packed; be jammed; be stuffed. (lit.: no even fit in a pin)"
"no caérsele los  anillos a algn:idiom. not to be  beneath one; not be beneath one’s dignity. (lit.: to not have one’s rings fall  off)"
"no dar ni golpe:idiom. do nothing;  not do anything; be idle"
"no es cosa mía:idiom. it’s not my  business; it’s not my affair"
"no estar para bromas:idiom. be in no  mood for jokes. (lit.: not to be for jokes)"
"no importar un ardite:idiom. could not  care less; not give a hoot/damn. (lit.: not be worth an “ardite,” an old coin  of little value)"
"no llevar nada encima:idiom. not have  any money with"
"no necesitar abuela:idiom. be full of  oneself; blow one’s own horn. (lit.: not to have a grandmother)"
"no pararse en barras:idiom. stop at  nothing. (lit.: not to stop at the bars [laws])"
"no pasa nada:idiom. no problem;  not big deal"
